date;15-19 ;20-24;25-29;30-34;35-39;40-44;45-49;50-54
1990;57.30;141.60;76.00;40.50;14.60;2.90;0.10;0.00
1991;56.40;133.00;63.60;31.80;12.10;2.90;0.10;0.00
1992;53.70;122.40;56.20;26.80;10.50;2.90;0.30;0.00
1993;49.70;113.80;54.50;24.10;9.60;2.20;0.10;0.00
1994;51.40;114.30;52.90;22.20;7.90;1.70;0.10;0.00
1995;47.60;105.60;52.20;22.10;7.80;1.70;0.00;0.00
1996;38.90;97.20;53.40;23.40;7.40;1.50;0.10;0.00
1997;37.40;92.00;51.70;22.80;8.10;1.20;0.10;0.00
1998;35.60;94.20;54.30;24.40;8.40;1.60;0.10;0.00
1999;29.70;85.50;51.70;23.10;8.00;1.50;0.10;0.00
2000;28.30;89.90;53.60;26.00;8.40;1.40;0.10;0.00
2001;28.50;88.70;58.50;30.10;9.10;1.70;0.00;0.00
2002;27.90;89.20;59.20;31.30;9.50;1.80;0.10;0.00
2003;27.90;89.80;65.00;35.50;11.10;1.40;0.10;0.00
2004;28.00;85.60;64.10;34.90;12.30;1.70;0.10;0.00
2005;25.90;81.20;64.90;34.50;12.70;1.80;0.10;0.00
2006;26.90;79.30;65.50;36.40;13.10;1.50;0.10;0.00
2007;26.80;77.30;69.70;40.60;15.70;2.00;0.10;0.00
2008;28.20;79.90;74.70;45.20;18.50;3.00;0.10;0.00
2009;26.70;81.60;79.00;51.50;19.70;3.50;0.10;0.00
2010;24.70;79.80;82.80;51.90;21.40;4.00;0.10;0.00
2011;25.80;77.70;83.50;54.10;22.40;3.80;0.10;0.00
2012;27.00;82.90;89.90;59.10;25.30;4.90;0.10;0.00
2013;25.20;80.30;88.30;60.90;27.30;4.90;0.10;0.00
2014;23.40;81.30;91.10;64.00;29.70;6.00;0.20;0.00
2015;24.70;84.20;97.60;71.10;31.90;5.90;0.20;0.00
2016;21.30;81.20;97.50;71.10;33.60;6.00;0.20;0.00
2017;18.90;74.00;86.80;62.30;32.00;6.40;0.30;0.00
2018;17.10;73.10;81.20;61.10;29.90;6.00;0.30;0.00
2019;13.20;66.70;78.80;58.00;29.40;6.10;0.30;0.00
2020;12.80;63.60;76.50;58.50;31.10;6.70;0.20;0.00
2021;13.80;58.80;76.30;57.00;31.30;6.60;0.30;0.00
2022;12.30;56.80;72.90;51.20;27.50;6.80;0.20;0.00
2023;11.40;55.80;75.80;54.90;28.60;6.80;0.40;0.00
